# ora_all_pairs | collection scie (stemness x immunogenicity (SCIE)) | run drvi_tum_64_nomt | recall of a signature collection by two pipelines on ONE set of cells: Leiden clusters vs DRVI decoder directions, identical ORA downstream | 05_10_pipeline_recall
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
gene_list,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,arm,resolution,fdr_bh,significant
0,gs_ind_0,BENPORATH_ES1,2/64,0.9912008700185562,0.9999885078446499,0.35032745591939546,0.0030962189023545964,harmony_leiden,0.2,1.0,False
0,gs_ind_0,ESC_ASSOU,11/130,0.7705102196216828,0.9999885078446499,0.8539208001678056,0.22261916844323842,harmony_leiden,0.2,1.0,False
0,gs_ind_0,ESC_WONG,4/61,0.8749285373986633,0.9999885078446499,0.694390972452705,0.09277970787663703,harmony_leiden,0.2,1.0,False
0,gs_ind_0,FMASC,11/284,0.9999885078446499,0.9999885078446499,0.3389319531336675,3.895081040013956e-06,harmony_leiden,0.2,1.0,False
0,gs_ind_0,HALLMARK_IFNA,18/44,4.713627632423846e-08,2.356813816211923e-07,6.787955544068235,114.51432329727807,harmony_leiden,0.2,2.5710696176857344e-07,True
0,gs_ind_0,HALLMARK_IFNG,28/98,8.383844775668401e-08,2.7946149252228004e-07,4.055442491520197,66.08089722316961,harmony_leiden,0.2,4.1919223878342003e-07,True
0,gs_ind_0,IMMUNOGENIC_CONSENSUS,10/17,8.387619495658908e-07,2.096904873914727e-06,13.180577427821522,184.41392571522113,harmony_leiden,0.2,3.871208997996419e-06,True
0,gs_ind_0,ISDS,9/15,2.471507229032267e-06,4.943014458064534e-06,13.695722032536654,176.82111711652567,harmony_leiden,0.2,1.0592173838709716e-05,True
0,gs_ind_0,KEGG_APM,19/30,9.057789578948209e-13,9.057789578948209e-12,16.718289615522817,463.59785497029145,harmony_leiden,0.2,6.793342184211156e-12,True
0,gs_ind_0,LIM_STEM,11/140,0.8475029771653207,0.9999885078446499,0.7832947912103585,0.12960468215378576,harmony_leiden,0.2,1.0,False
1,gs_ind_0,BENPORATH_ES1,5/64,0.33164331155844134,0.7738343936363632,1.4713221533154746,1.6238912723972994,harmony_leiden,0.2,0.7653307189810185,False
1,gs_ind_0,ESC_ASSOU,7/130,0.6676922278564021,0.9841951526759191,0.9492577597840756,0.3834317393736222,harmony_leiden,0.2,1.0,False
