# dim_geneset_signed_significance | collection gavish (pan-cancer malignant metaprograms (Gavish)) | DRVI run drvi_tum_64 | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
,MP2_CELL_CYCLE_G1_S,MP3_CELL_CYCLE_HMG_RICH,MP4_CHROMATIN,MP5_STRESS,MP6_HYPOXIA,MP7_STRESS_IN_VITRO,MP8_PROTEASOMAL_DEGRADATION,MP9_UNFOLDED_PROTEIN_RESPONSE,MP10_PROTEIN_MATURATION,MP11_TRANSLATION_INITIATION,MP12_EMT_1,MP13_EMT_2,MP14_EMT_3,MP15_EMT_4,MP16_MES_GLIOMA,MP17_INTERFERON_MHC_II_1,MP18_INTERFERON_MHC_II_2,MP19_EPITHELIAL_SENESCENCE,MP20_MYC,MP21_RESPIRATION,MP38_GLUTATHIONE,MP39_METAL_RESPONSE,MP22_SECRETED_1,MP23_SECRETED_2,MP24_CILIA,MP25_ASTROCYTES,MP26_NPC_GLIOMA,MP27_OLIGO_PROGENITOR,MP28_OLIGO_NORMAL,MP29_NPC_OPC,MP30_PDAC_CLASSICAL,MP31_ALVEOLAR,MP40_PDAC_RELATED,MP32_SKIN_PIGMENTATION,MP33_RBCS,MP34_PLATELET_ACTIVATION,MP35_HEMATO_RELATED_1,MP36_IG,MP37_HEMATO_RELATED_2,MP41_UNASSIGNED
DR 38,0.801,1.4384,0.0,-0.0481,0.4099,-0.0,0.5616,-0.0989,-0.0647,0.7651,-0.0,-2.8714,-7.0372,0.0378,-2.1998,-0.5309,-0.6804,-19.6208,0.4417,2.0265,-0.0989,-0.3306,-2.1558,-1.9661,0.3306,-0.4417,-0.0839,0.1955,-0.8884,0.0,-1.2016,-1.1753,-14.4172,-0.9869,0.208,0.0206,-0.0839,0.0,-0.1076,0.0
DR 37,-0.0,0.4215,-0.0989,0.5309,-0.0653,0.1255,-0.1955,-0.0989,-4.1524,0.2961,-8.3508,-9.3805,1.0218,-3.3732,-2.927,1.1013,-1.3254,0.152,-0.0647,1.1013,-0.3605,-1.6078,0.0,-1.5173,-2.5415,-3.823,-0.685,0.1955,-0.208,-0.0353,-0.0647,-0.3969,-0.5824,-0.2408,-0.208,0.1855,-0.2611,-0.0,0.3306,-0.0025
DR 11,0.0277,0.8593,0.0989,-0.0,0.208,0.3605,-0.5616,0.0989,-5.3283,1.4384,-1.6612,-6.5348,-4.3982,-2.1696,-3.7533,-6.3637,-7.2052,-6.3151,1.1013,2.0265,0.3605,-1.185,-0.1076,-5.7319,-0.3306,-1.4617,0.3306,0.1955,0.4913,0.0353,-0.81,-1.1753,-1.2532,-0.036,0.0313,0.4417,-1.2882,0.0,0.3306,0.0
DR 47,-0.0,0.4215,0.0,-10.039,-0.208,-1.1013,-0.0,-0.5616,-0.0,0.7651,-0.0,-2.8714,1.3941,-0.173,-0.685,-0.1622,0.0057,-1.185,1.1013,3.3732,0.7651,-0.3306,-15.6029,-2.9916,0.3306,-0.4417,-0.0,-0.1955,0.4913,0.0353,-0.0,0.0103,-1.2532,0.036,-0.0,-0.0,-0.0,-0.0,-0.0,0.0025
DR 28,-2.0012,-3.085,-0.0989,0.1622,1.3941,1.1013,-1.796,0.0989,-0.2889,-1.4384,-0.1185,-0.1076,-0.4099,-0.0,-0.0,-0.3306,-0.2313,0.152,-1.1013,-3.3732,-0.0,-0.561,-0.0,0.1855,-0.3306,0.2289,-0.685,-0.0,0.4913,0.0353,0.81,0.0103,0.0378,0.556,-0.0,-0.8103,-0.0,-0.0,0.1076,-0.0025
DR 53,0.5177,0.1221,0.0,-1.8792,0.0653,-0.3605,0.1955,-0.0989,-0.0,0.0206,0.2621,-0.0,-2.9916,-0.173,-0.1255,2.3434,2.1998,0.561,0.0647,1.1013,-0.0,1.185,-0.0035,-0.1855,-0.3306,1.0865,0.685,-0.0,-0.4913,0.0353,1.2016,-0.1524,-0.0,0.556,-0.0313,-0.1855,0.0839,0.0,-0.0,0.0
DR 12,-0.0,-0.0,0.0,-1.4509,-1.3941,-3.7533,-1.1013,-1.3353,-1.6365,-0.7651,-1.2797,-12.734,-6.0932,0.5824,-4.7088,-0.0,0.2313,-0.561,-2.0265,-1.1013,1.2869,-1.185,-9.0011,2.9916,0.0839,1.9653,0.0839,0.1955,1.3914,0.902,0.81,0.3969,-1.6786,0.2408,0.4913,-0.4417,-0.2611,-0.0,0.6148,0.0
DR 49,-0.0,0.4215,0.0,-0.0,-0.0,0.685,-0.0,0.0989,-1.6365,1.4384,0.685,0.2592,1.0218,-2.739,0.1255,-2.8905,-4.7266,-2.0699,1.1013,3.3732,-1.2869,1.185,-0.0,-8.3508,0.0839,-1.0865,0.685,-0.0,0.8884,-0.0353,-1.2016,-0.7385,-0.0,0.556,-0.208,0.4417,-0.865,0.0,-1.0218,0.0
DR 55,-0.0,0.1221,0.0989,-0.0,1.0218,-0.3605,-0.0,0.0989,-1.0865,0.2961,1.6612,0.2592,-2.3737,-0.5824,0.1255,-0.5309,-3.9927,-0.8502,0.4417,-0.4417,-0.7651,0.3306,-0.0,-1.5173,0.685,3.1301,-0.0839,-0.1955,-0.208,-0.0353,-0.81,-1.713,-0.3547,-2.1583,0.0313,-0.1855,-0.2611,0.0,-0.0,0.0025
DR 17,-0.3006,-0.0,-0.5616,1.4509,0.685,-0.685,-3.823,0.0989,0.0647,0.0206,0.1185,0.0142,1.3941,1.2532,0.685,0.3306,1.3254,0.3306,-0.4417,1.1013,0.0989,0.8502,0.5159,0.1855,0.685,1.4617,0.0839,-0.1955,0.8884,-0.3605,0.2289,0.0103,-0.0,1.4911,0.0313,0.1855,0.865,-0.0,0.1076,-0.0025
