# convergence | collection gavish (pan-cancer malignant metaprograms (Gavish)) | DRVI run drvi_tum_32 | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
dim_direction,dimension,direction,A_best_signature,A_rho,A_best_any_readout,A_rho_any,B_best_signature,B_neglog10_fdr,B_fdr,A_significant,B_significant,same_signature,same_family,A_family,B_family,verdict,dimension_vanished,confounder_flags
DR 1+,DR 1,+,MP19_EPITHELIAL_SENESCENCE,0.2142,MP19_EPITHELIAL_SENESCENCE,0.2142,MP8_PROTEASOMAL_DEGRADATION,2.8123,0.0015406358517478737,True,True,False,False,senescence,proteostasis,both_routes_different_family,False,cell_cycle
DR 1-,DR 1,-,MP12_EMT_1,0.4469,MP12_EMT_1,0.4469,MP12_EMT_1,32.1732,6.71119719698419e-33,True,True,True,True,emt,emt,convergent,False,mesenchymal_may_be_ambient_or_doublet
DR 2+,DR 2,+,MP17_INTERFERON_MHC_II_1,0.1538,MP17_INTERFERON_MHC_II_1,0.1538,MP35_HEMATO_RELATED_1,3.2739,0.0005322307958283607,False,True,False,False,immune,other_lineage,factor_only_candidate_patient_or_technical,False,lineage_control_claim_bounds_the_rest
DR 2-,DR 2,-,MP21_RESPIRATION,0.3243,MP21_RESPIRATION,0.3243,MP5_STRESS,3.613,0.00024378108183687524,True,True,False,False,metabolic,stress,both_routes_different_family,False,depth
DR 3+,DR 3,+,MP14_EMT_3,0.5588,MP14_EMT_3,0.5588,MP14_EMT_3,15.5698,2.6927745869589526e-16,True,True,True,True,emt,emt,convergent,False,mesenchymal_may_be_ambient_or_doublet
DR 3-,DR 3,-,MP41_UNASSIGNED,0.2987,MP41_UNASSIGNED,0.2987,MP41_UNASSIGNED,2.0985,0.007970764905902969,True,True,True,True,unassigned,unassigned,convergent,False,depth
DR 4+,DR 4,+,MP13_EMT_2,0.2874,MP13_EMT_2,0.2874,MP22_SECRETED_1,12.9274,1.181952435820165e-13,True,True,False,False,emt,secreted,both_routes_different_family,False,mesenchymal_may_be_ambient_or_doublet
DR 4-,DR 4,-,MP23_SECRETED_2,0.3586,MP23_SECRETED_2,0.3586,MP23_SECRETED_2,6.7141,1.9315235160837984e-07,True,True,True,True,secreted,secreted,convergent,False,cell_cycle
DR 5+,DR 5,+,MP15_EMT_4,0.2518,MP15_EMT_4,0.2518,MP5_STRESS,3.613,0.00024378108183687524,True,True,False,False,emt,stress,both_routes_different_family,False,mesenchymal_may_be_ambient_or_doublet
DR 5-,DR 5,-,MP2_CELL_CYCLE_G1_S,0.7538,MP2_CELL_CYCLE_G1_S,0.7538,MP2_CELL_CYCLE_G1_S,34.5132,3.0676089769179534e-35,True,True,True,True,cell_cycle,cell_cycle,convergent,False,cell_cycle
DR 6+,DR 6,+,MP21_RESPIRATION,0.2565,MP21_RESPIRATION,0.2565,MP14_EMT_3,4.5908,2.5656652970348693e-05,True,True,False,False,metabolic,emt,both_routes_different_family,False,depth
DR 6-,DR 6,-,MP8_PROTEASOMAL_DEGRADATION,0.4397,MP8_PROTEASOMAL_DEGRADATION,0.4397,MP8_PROTEASOMAL_DEGRADATION,7.1499,7.08108813693838e-08,True,True,True,True,proteostasis,proteostasis,convergent,False,depth
DR 7+,DR 7,+,MP5_STRESS,0.3916,MP5_STRESS,0.3916,MP5_STRESS,15.8439,1.4325177106937537e-16,True,True,True,True,stress,stress,convergent,False,none
DR 7-,DR 7,-,MP2_CELL_CYCLE_G1_S,0.4823,MP2_CELL_CYCLE_G1_S,0.4823,MP2_CELL_CYCLE_G1_S,10.1727,6.718928197763009e-11,True,True,True,True,cell_cycle,cell_cycle,convergent,False,cell_cycle
DR 8+,DR 8,+,MP41_UNASSIGNED,0.4104,MP41_UNASSIGNED,0.4104,MP5_STRESS,4.2854,5.183224264170614e-05,True,True,False,False,unassigned,stress,both_routes_different_family,False,depth
DR 8-,DR 8,-,MP8_PROTEASOMAL_DEGRADATION,0.1525,MP8_PROTEASOMAL_DEGRADATION,0.1525,MP21_RESPIRATION,2.0985,0.007970764905902969,False,True,False,False,proteostasis,metabolic,factor_only_candidate_patient_or_technical,False,depth
DR 9+,DR 9,+,MP2_CELL_CYCLE_G1_S,0.1611,MP2_CELL_CYCLE_G1_S,0.1611,MP21_RESPIRATION,3.5194,0.0003024126821283228,False,True,False,False,cell_cycle,metabolic,factor_only_candidate_patient_or_technical,False,depth
DR 9-,DR 9,-,MP5_STRESS,0.8134,MP5_STRESS,0.8134,MP5_STRESS,39.1668,6.810829367676353e-40,True,True,True,True,stress,stress,convergent,False,none
DR 10+,DR 10,+,MP8_PROTEASOMAL_DEGRADATION,0.3138,MP8_PROTEASOMAL_DEGRADATION,0.3138,MP17_INTERFERON_MHC_II_1,5.7418,1.8121744376590256e-06,True,True,False,False,proteostasis,immune,both_routes_different_family,False,depth
DR 10-,DR 10,-,MP41_UNASSIGNED,0.3916,MP41_UNASSIGNED,0.3916,MP5_STRESS,8.2877,5.1558467487505635e-09,True,True,False,False,unassigned,stress,both_routes_different_family,False,depth
DR 11+,DR 11,+,MP3_CELL_CYCLE_HMG_RICH,0.2961,MP3_CELL_CYCLE_HMG_RICH,0.2961,MP21_RESPIRATION,2.0985,0.007970764905902969,True,True,False,False,cell_cycle,metabolic,both_routes_different_family,False,"depth,cell_cycle"
DR 11-,DR 11,-,MP10_PROTEIN_MATURATION,0.325,MP10_PROTEIN_MATURATION,0.325,MP13_EMT_2,6.6955,2.0160439706643623e-07,True,True,False,False,proteostasis,emt,both_routes_different_family,False,depth
DR 12+,DR 12,+,MP10_PROTEIN_MATURATION,0.354,MP10_PROTEIN_MATURATION,0.354,MP28_OLIGO_NORMAL,5.8844,1.304968414130222e-06,True,True,False,False,proteostasis,neural,both_routes_different_family,False,depth
DR 12-,DR 12,-,MP22_SECRETED_1,0.2267,MP22_SECRETED_1,0.2267,MP22_SECRETED_1,17.3035,4.9716437372524334e-18,True,True,True,True,secreted,secreted,convergent,False,none
DR 13+,DR 13,+,MP41_UNASSIGNED,0.6716,MP41_UNASSIGNED,0.6716,MP41_UNASSIGNED,2.0985,0.007970764905902969,True,True,True,True,unassigned,unassigned,convergent,False,depth
DR 13-,DR 13,-,MP3_CELL_CYCLE_HMG_RICH,0.2794,MP3_CELL_CYCLE_HMG_RICH,0.2794,MP21_RESPIRATION,3.5194,0.0003024126821283228,True,True,False,False,cell_cycle,metabolic,both_routes_different_family,False,"depth,cell_cycle"
DR 14+,DR 14,+,MP13_EMT_2,0.3542,MP13_EMT_2,0.3542,MP13_EMT_2,14.1426,7.201119202497902e-15,True,True,True,True,emt,emt,convergent,False,mesenchymal_may_be_ambient_or_doublet
DR 14-,DR 14,-,MP30_PDAC_CLASSICAL,0.2931,MP30_PDAC_CLASSICAL,0.2931,MP30_PDAC_CLASSICAL,3.0938,0.0008057494170914512,True,True,True,True,epithelial_lineage,epithelial_lineage,convergent,False,none
DR 15+,DR 15,+,MP7_STRESS_IN_VITRO,0.0655,MP7_STRESS_IN_VITRO,0.0655,MP15_EMT_4,2.2524,0.005592422830408999,False,True,False,False,stress,emt,factor_only_candidate_patient_or_technical,False,mesenchymal_may_be_ambient_or_doublet
DR 15-,DR 15,-,MP18_INTERFERON_MHC_II_2,0.2394,MP18_INTERFERON_MHC_II_2,0.2394,MP14_EMT_3,6.2868,5.166542425669496e-07,True,True,False,False,immune,emt,both_routes_different_family,False,none
DR 16+,DR 16,+,MP17_INTERFERON_MHC_II_1,0.3738,MP17_INTERFERON_MHC_II_1,0.3738,MP17_INTERFERON_MHC_II_1,27.5129,3.0697287381836773e-28,True,True,True,True,immune,immune,convergent,False,none
DR 16-,DR 16,-,MP26_NPC_GLIOMA,0.0762,MP26_NPC_GLIOMA,0.0762,MP30_PDAC_CLASSICAL,4.7742,1.68189933942853e-05,False,True,False,False,neural,epithelial_lineage,factor_only_candidate_patient_or_technical,False,none
DR 17+,DR 17,+,MP6_HYPOXIA,0.5618,MP6_HYPOXIA,0.5618,MP6_HYPOXIA,30.3838,4.132377611997563e-31,True,True,True,True,stress,stress,convergent,False,depth
DR 17-,DR 17,-,MP3_CELL_CYCLE_HMG_RICH,0.1661,MP3_CELL_CYCLE_HMG_RICH,0.1661,MP8_PROTEASOMAL_DEGRADATION,1.8671,0.013580007193632155,False,True,False,False,cell_cycle,proteostasis,factor_only_candidate_patient_or_technical,False,depth
DR 18+,DR 18,+,MP21_RESPIRATION,0.1629,MP21_RESPIRATION,0.1629,MP18_INTERFERON_MHC_II_2,2.2774,0.005279587597837324,False,True,False,False,metabolic,immune,factor_only_candidate_patient_or_technical,False,none
DR 18-,DR 18,-,MP19_EPITHELIAL_SENESCENCE,0.4361,MP19_EPITHELIAL_SENESCENCE,0.4361,MP19_EPITHELIAL_SENESCENCE,14.1426,7.201119202497902e-15,True,True,True,True,senescence,senescence,convergent,False,cell_cycle
DR 19+,DR 19,+,MP7_STRESS_IN_VITRO,0.3787,MP7_STRESS_IN_VITRO,0.3787,MP5_STRESS,12.3808,4.161021885174541e-13,True,True,False,True,stress,stress,convergent,False,none
DR 19-,DR 19,-,MP21_RESPIRATION,0.2937,MP21_RESPIRATION,0.2937,MP21_RESPIRATION,3.5194,0.0003024126821283228,True,True,True,True,metabolic,metabolic,convergent,False,depth
DR 20+,DR 20,+,MP20_MYC,0.2131,MP20_MYC,0.2131,MP26_NPC_GLIOMA,3.6127,0.00024394953801837814,True,True,False,False,metabolic,neural,both_routes_different_family,False,cell_cycle
DR 20-,DR 20,-,MP23_SECRETED_2,0.4579,MP23_SECRETED_2,0.4579,MP23_SECRETED_2,12.6984,2.002626690340905e-13,True,True,True,True,secreted,secreted,convergent,False,cell_cycle
DR 21+,DR 21,+,MP4_CHROMATIN,0.227,MP4_CHROMATIN,0.227,MP4_CHROMATIN,0.5606,0.2750426223030318,True,False,False,False,chromatin,chromatin,cell_only_state_not_on_one_axis,False,none
DR 21-,DR 21,-,MP19_EPITHELIAL_SENESCENCE,0.3533,MP19_EPITHELIAL_SENESCENCE,0.3533,MP19_EPITHELIAL_SENESCENCE,14.1426,7.201119202497902e-15,True,True,True,True,senescence,senescence,convergent,False,cell_cycle
DR 22+,DR 22,+,MP30_PDAC_CLASSICAL,0.2035,MP30_PDAC_CLASSICAL,0.2035,MP19_EPITHELIAL_SENESCENCE,4.061,8.689604292863019e-05,True,True,False,False,epithelial_lineage,senescence,both_routes_different_family,False,none
DR 22-,DR 22,-,MP10_PROTEIN_MATURATION,0.2516,MP10_PROTEIN_MATURATION,0.2516,MP25_ASTROCYTES,1.5272,0.029702978440178645,True,True,False,False,proteostasis,neural,both_routes_different_family,False,depth
DR 23+,DR 23,+,MP17_INTERFERON_MHC_II_1,0.5611,MP17_INTERFERON_MHC_II_1,0.5611,MP17_INTERFERON_MHC_II_1,19.8009,1.5816121770080407e-20,True,True,True,True,immune,immune,convergent,False,none
DR 23-,DR 23,-,MP21_RESPIRATION,0.136,MP21_RESPIRATION,0.136,MP26_NPC_GLIOMA,1.2059,0.062244359160328895,False,False,False,False,metabolic,neural,neither,False,depth
DR 24+,DR 24,+,MP23_SECRETED_2,0.3621,MP23_SECRETED_2,0.3621,MP23_SECRETED_2,5.9239,1.1915163332180015e-06,True,True,True,True,secreted,secreted,convergent,False,cell_cycle
DR 24-,DR 24,-,MP3_CELL_CYCLE_HMG_RICH,0.3757,MP3_CELL_CYCLE_HMG_RICH,0.3757,MP2_CELL_CYCLE_G1_S,3.9125,0.00012232071190499313,True,True,False,True,cell_cycle,cell_cycle,convergent,False,"depth,cell_cycle"
DR 25+,DR 25,+,MP12_EMT_1,0.1659,MP12_EMT_1,0.1659,MP36_IG,13.6404,2.2887586570623643e-14,False,True,False,False,emt,other_lineage,factor_only_candidate_patient_or_technical,False,lineage_control_claim_bounds_the_rest
DR 25-,DR 25,-,MP19_EPITHELIAL_SENESCENCE,0.1883,MP19_EPITHELIAL_SENESCENCE,0.1883,MP19_EPITHELIAL_SENESCENCE,6.4899,3.236681757016534e-07,False,True,False,False,senescence,senescence,factor_only_candidate_patient_or_technical,False,cell_cycle
DR 26+,DR 26,+,MP19_EPITHELIAL_SENESCENCE,0.1439,MP19_EPITHELIAL_SENESCENCE,0.1439,MP14_EMT_3,1.9295,0.011762509846847232,False,True,False,False,senescence,emt,factor_only_candidate_patient_or_technical,False,mesenchymal_may_be_ambient_or_doublet
DR 26-,DR 26,-,MP12_EMT_1,0.1775,MP12_EMT_1,0.1775,MP33_RBCS,3.7362,0.00018356927808988173,False,True,False,False,emt,other_lineage,factor_only_candidate_patient_or_technical,False,lineage_control_claim_bounds_the_rest
