factor,source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
DR 1-,GO:BP,GO:0030199,collagen fibril organization,0.0001111966743659272,True,"""Any process that determines the size and arrangement of collagen fibrils within an extracellular matrix."" [GOC:mah, ISBN:0815316194]",27,9,7,1883,0.7777777777777778,0.25925925925925924,query_1,['GO:0030198']
DR 2-,GO:BP,GO:0002468,dendritic cell antigen processing and presentation,0.0008036590377634188,True,"""The process in which a dendritic cell expresses antigen (peptide or lipid) on its cell surface in association with an MHC protein complex."" [GOC:add, ISBN:0781735149, PMID:15771591]",12,72,8,1883,0.1111111111111111,0.6666666666666666,query_1,['GO:0019882']
DR 2-,GO:BP,GO:0002478,antigen processing and presentation of exogenous peptide antigen,0.003114213715591878,True,"""The process in which an antigen-presenting cell expresses a peptide antigen of exogenous origin on its cell surface in association with an MHC protein complex. The peptide is typically a fragment of a larger exogenous protein which has been degraded within the cell."" [GOC:add, ISBN:0781735149]",22,72,11,1883,0.1527777777777778,0.5,query_1,"['GO:0019884', 'GO:0048002']"
DR 2-,GO:BP,GO:0002504,antigen processing and presentation of peptide or polysaccharide antigen via MHC class II,0.005178679279570998,True,"""The process in which an antigen-presenting cell expresses antigen (peptide or polysaccharide) on its cell surface in association with an MHC class II protein complex."" [GOC:add, ISBN:0781735149, PMID:15531770, PMID:15771591, PMID:16153240]",21,80,11,1883,0.1375,0.5238095238095238,query_1,['GO:0019882']
DR 2-,GO:BP,GO:0002495,antigen processing and presentation of peptide antigen via MHC class II,0.005847687186114026,True,"""The process in which an antigen-presenting cell expresses a peptide antigen on its cell surface in association with an MHC class II protein complex. The peptide antigen is typically, but not always, processed from a whole protein."" [GOC:add, ISBN:0781735149, PMID:15531770, PMID:15771591]",19,72,10,1883,0.1388888888888889,0.5263157894736842,query_1,"['GO:0002504', 'GO:0048002']"
DR 2-,GO:BP,GO:0150146,cell junction disassembly,0.014891589762710556,True,"""The disaggregation of a cell junction into its constituent components."" [GOC:aruk, PMID:25490267]",8,5,4,1883,0.8,0.5,query_1,"['GO:0022411', 'GO:0034330']"
DR 2-,GO:BP,GO:0019886,antigen processing and presentation of exogenous peptide antigen via MHC class II,0.02036071743915258,True,"""The process in which an antigen-presenting cell expresses a peptide antigen of exogenous origin on its cell surface in association with an MHC class II protein complex. The peptide antigen is typically, but not always, processed from a whole protein."" [GOC:add, ISBN:0781735149, PMID:15771591]",17,72,9,1883,0.125,0.5294117647058824,query_1,"['GO:0002478', 'GO:0002495']"
DR 2-,GO:BP,GO:0019884,antigen processing and presentation of exogenous antigen,0.03423267478067828,True,"""The process in which an antigen-presenting cell expresses antigen (peptide or lipid) of exogenous origin on its cell surface in association with an MHC protein complex."" [GOC:add, ISBN:0781735149, PMID:15771591, PMID:15928678]",23,72,11,1883,0.1527777777777778,0.4782608695652174,query_1,['GO:0019882']
DR 2-,GO:BP,GO:0048002,antigen processing and presentation of peptide antigen,0.03703983588020573,True,"""The process in which an antigen-presenting cell expresses peptide antigen in association with an MHC protein complex on its cell surface, including proteolysis and transport steps for the peptide antigen both prior to and following assembly with the MHC protein complex. The peptide antigen is typically, but not always, processed from an endogenous or exogenous protein."" [GOC:add, ISBN:0781735149, PMID:15771591]",29,72,13,1883,0.18055555555555555,0.4482758620689655,query_1,['GO:0019882']
DR 3+,GO:BP,GO:0000070,mitotic sister chromatid segregation,1.1420788658903973e-12,True,"""The cell cycle process in which replicated homologous chromosomes are organized and then physically separated and apportioned to two sets during the mitotic cell cycle. Each replicated chromosome, composed of two sister chromatids, aligns at the cell equator, paired with its homologous partner. One homolog of each morphologic type goes into each of the resulting chromosome sets."" [GOC:ai, GOC:jl]",53,93,40,1883,0.43010752688172044,0.7547169811320755,query_1,"['GO:0000819', 'GO:0140014', 'GO:1903047']"
