factor,Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
DR 1+,GO_Biological_Process_2023,Nervous System Development (GO:0007399),0.00239758877166875,0.04988695806951756,0,0,50.17948717948718,302.7474847711312,FABP7;SCRG1
DR 1+,GO_Biological_Process_2023,Protein Deubiquitination (GO:0016579),0.005990923177088634,0.04988695806951756,0,0,332.3333333333333,1700.719076579553,UCHL1
DR 1+,GO_Biological_Process_2023,Protein Modification By Small Protein Removal (GO:0070646),0.005990923177088634,0.04988695806951756,0,0,332.3333333333333,1700.719076579553,UCHL1
DR 1+,GO_Biological_Process_2023,Embryonic Eye Morphogenesis (GO:0048048),0.00798191329112281,0.04988695806951756,0,0,221.44444444444446,1069.7044701093293,MFAP2
DR 1-,GO_Biological_Process_2023,Regulation Of Transcription By RNA Polymerase II (GO:0006357),6.045610169322421e-07,0.0004853575323775097,0,0,2.7151211361737677,38.877176700860396,CEBPD;EPAS1;FHL2;ADIRF;GATA3;ETS2;CX3CL1;ZFP36;MUC1;CCND1;MYC;JUNB;SF3B1;IER2;SPDEF;HES4;KLF10;EGR1;XBP1;JUN;JUND;ARID5A;ABHD14B;FOS;KLF4;ESR1;TBX3;BATF;VEGFA;NFKBIA;NR4A1;KLF6;MAFB;NR4A3;ELF3;IRF1;MAFF;MDM2;FOSB;CTNNB1;PGR;HOXB2;FBP1;ATF3
DR 1-,GO_Biological_Process_2023,Regulation Of Cell Cycle (GO:0051726),6.472186181012069e-07,0.0004853575323775097,0,0,5.962020202020202,84.96225601254925,PPP1R15A;CDKN1A;JUN;JUND;GADD45B;GMNN;GATA3;TBX3;RHOB;NR4A1;IRF1;MYC;MDM2;CKS2;NUPR1;JUNB;SMIM22
DR 1-,GO_Biological_Process_2023,Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944),7.874919400392261e-07,0.0004853575323775097,0,0,3.2385774562989753,45.516304135530575,EPAS1;ADIRF;GATA3;ETS2;CX3CL1;MUC1;MYC;JUNB;SF3B1;IER2;KLF10;EGR1;XBP1;JUN;JUND;ABHD14B;FOS;KLF4;ESR1;TBX3;VEGFA;NFKBIA;NR4A1;KLF6;NR4A3;ELF3;IRF1;MAFF;CTNNB1;PGR;HOXB2;ATF3
DR 1-,GO_Biological_Process_2023,Integrated Stress Response Signaling (GO:0140467),1.868373458625991e-05,0.008636556312498643,0,0,44.66949152542373,486.35504585579093,JUN;MAFB;CEBPD;FOS;JUNB;BATF
DR 1-,GO_Biological_Process_2023,Mitotic G1 DNA Damage Checkpoint Signaling (GO:0031571),2.500451182465839e-05,0.009246668472758672,0,0,inf,inf,CDKN1A;MUC1;CCND1;PLK2;MDM2
DR 1-,GO_Biological_Process_2023,Regulation Of Apoptotic Process (GO:0042981),3.699573403470072e-05,0.010342608433181598,0,0,2.6007865281839266,26.540266956059323,HPN;FHL2;HSPB1;LRP2;VTCN1;THBS1;CX3CL1;SOCS3;MYC;TNFSF10;PMAIP1;IER3;SPDEF;TGM2;EGR1;XBP1;JUN;GADD45B;TNFRSF12A;BIK;PLK2;TBX3;RHOB;VEGFA;TCIM;KCNMA1;MDM2;CTNNB1;ANGPTL4;NUPR1;IL6ST
DR 1-,GO_Biological_Process_2023,Positive Regulation Of DNA-templated Transcription (GO:0045893),3.9155359130487386e-05,0.010342608433181598,0,0,2.472918136908963,25.095107122036993,EPAS1;RASL11A;ADIRF;GATA3;ETS2;CX3CL1;MYC;JUNB;SF3B1;IER2;KLF10;EGR1;XBP1;JUN;JUND;ABHD14B;FOS;KLF4;ESR1;TBX3;VEGFA;NFKBIA;NR4A1;KLF6;MAFB;NR4A3;ELF3;BAMBI;IRF1;MAFF;CTNNB1;PGR;HOXB2;ATF3
DR 1-,GO_Biological_Process_2023,Negative Regulation Of DNA-templated Transcription (GO:0045892),5.4979851584018644e-05,0.01270721819735631,0,0,2.6742648734898564,26.230644076727238,GMNN;FHL2;GATA3;ETS2;ZFP36;MUC1;CCND1;MYC;SPDEF;KLF10;JUN;JUND;ARID5A;KLF4;ESR1;TBX3;VEGFA;MAFB;NR4A3;ELF3;IRF1;MAFF;MDM2;PDCD4;FOSB;CTNNB1;FBP1;ATF3
DR 1-,GO_Biological_Process_2023,Negative Regulation Of Transcription By RNA Polymerase II (GO:0000122),0.0001301946782925661,0.025978497881541267,0,0,2.8796610169491523,25.76282883779604,KLF10;JUN;JUND;ARID5A;FHL2;GATA3;KLF4;ESR1;TBX3;ETS2;VEGFA;ZFP36;MAFB;NR4A3;CCND1;MYC;MAFF;MDM2;FOSB;FBP1;ATF3;SPDEF
DR 1-,GO_Biological_Process_2023,Regulation Of DNA-templated Transcription (GO:0006355),0.00014050025895911988,0.025978497881541267,0,0,2.2254247572815533,19.740187953033892,CEBPD;EPAS1;GMNN;GATA3;ETS2;ZFP36L2;MYC;JUNB;SPDEF;HES4;KLF10;EGR1;XBP1;JUN;JUND;ARID5A;FOS;KLF4;ESR1;TBX3;BATF;NR4A1;KLF6;MAFB;NR4A3;TCIM;ELF3;BAMBI;IRF1;MAFF;MDM2;PDCD4;FOSB;CTNNB1;PGR;ATF3
DR 1-,GO_Biological_Process_2023,Regulation Of miRNA Transcription (GO:1902893),0.00016180684072997,0.027198258955428593,0,0,10.443404255319148,91.16159606410142,EGR1;JUN;MYC;FOS;GATA3;KLF4;ESR1
DR 1-,GO_Biological_Process_2023,"DNA Damage Response, Signal Transduction By P53 Class Mediator Resulting In Cell Cycle Arrest (GO:0006977)",0.0002097057587020159,0.03151491594430299,0,0,inf,inf,CDKN1A;MUC1;PLK2;MDM2
DR 1-,GO_Biological_Process_2023,Negative Regulation Of Cell Cycle (GO:0045786),0.00022157593687178954,0.03151491594430299,0,0,7.478632478632479,62.93078673053065,NR4A1;BTG2;CDKN1A;DUSP1;GMNN;NUPR1;GATA3;RHOB
DR 1-,GO_Biological_Process_2023,Positive Regulation Of miRNA Metabolic Process (GO:2000630),0.00040719528963579496,0.04927724446257775,0,0,11.148305084745763,87.02609603703854,EGR1;JUN;MYC;FOS;GATA3;KLF4
DR 1-,GO_Biological_Process_2023,Positive Regulation Of miRNA Transcription (GO:1902895),0.00040719528963579496,0.04927724446257775,0,0,11.148305084745763,87.02609603703854,EGR1;JUN;MYC;GATA3;FOS;KLF4
DR 1-,GO_Biological_Process_2023,"DNA Damage Response, Signal Transduction By P53 Class Mediator (GO:0030330)",0.00042641206673945054,0.04927724446257775,0,0,18.523206751054854,143.74201795915715,CDKN1A;MUC1;PLK2;MDM2;BATF
