run_accession	sample_accession	sample_title	library_strategy	library_source	library_selection	library_name	experiment_title	fastq_md5	fastq_ftp
SRR26541109	SAMN38001668	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h64B_P	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	d18f0a9e26d128a3c01a27716a0f2508;9e1c973b6a04c1de3c1069bb7a62eb4c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/009/SRR26541109/SRR26541109_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/009/SRR26541109/SRR26541109_2.fastq.gz
SRR26541112	SAMN38001667	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h64A_P	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	c11663e17c32dd530a97bf326fd34604;1ccbc6aa8bd951c82d86f203f66b6393	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/012/SRR26541112/SRR26541112_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/012/SRR26541112/SRR26541112_2.fastq.gz
SRR26541114	SAMN38001666	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h63C_N	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	6a342a48b4d6ce1dba4057bdb8740b48;444f5b8dc7e198fd8ebfa88d51ef7d83	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/014/SRR26541114/SRR26541114_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/014/SRR26541114/SRR26541114_2.fastq.gz
SRR26541116	SAMN38001666	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h63C_P	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	0ce039f87bf34035b88a6bf360b71985;ac491c6389a57b1916442fa11630e270	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/016/SRR26541116/SRR26541116_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/016/SRR26541116/SRR26541116_2.fastq.gz
SRR26541117	SAMN38001665	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h63B_TCR	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	31e114f6e8c8b50203e3a34c37f5ef0d;297015be163c613775debc494fb9eecf	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/017/SRR26541117/SRR26541117_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/017/SRR26541117/SRR26541117_2.fastq.gz
SRR26541123	SAMN38001663	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h57C_TCR	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	7f5dbc341d910adf66a4cb6d345aa6d1;85c286ba3262f21303d0e3629b64c7ae	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/023/SRR26541123/SRR26541123_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/023/SRR26541123/SRR26541123_2.fastq.gz
SRR26541125	SAMN38001663	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h57C_P	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	b621aa001172078fa4d1ac87b9e8e427;6056201877d5834db2b83db595ffe27a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/025/SRR26541125/SRR26541125_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/025/SRR26541125/SRR26541125_2.fastq.gz
SRR26541126	SAMN38001581	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h04B_P	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	f51342b84e07a4fc332d6d1bf4d9dbe9;3c3599e5d0c86184aefd1602216727dd	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/026/SRR26541126/SRR26541126_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/026/SRR26541126/SRR26541126_2.fastq.gz
SRR26541131	SAMN38001654	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h52C_N	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	0477a3c3fb01c10d91ba7e2ccab4f0ae;8b8cfffd61c1fe425b9582e518ba2bd4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/031/SRR26541131/SRR26541131_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/031/SRR26541131/SRR26541131_2.fastq.gz
SRR26541132	SAMN38001654	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h52C_P	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	812cc1890773896490310c89e60a6eb4;776389d49e0048d838e82dc9e0aa20c3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/032/SRR26541132/SRR26541132_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/032/SRR26541132/SRR26541132_2.fastq.gz
SRR26541133	SAMN38001653	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h52B_TCR	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	2d4e03e38f730defd66f5d505afc19b1;d74d483f554af26ae1b6e4b9203cbfc1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/033/SRR26541133/SRR26541133_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/033/SRR26541133/SRR26541133_2.fastq.gz
SRR26541138	SAMN38001652	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h52A_N	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	946da34925b759ffddcd96d0a7201c8a;5c055d85899fb225af09e15757cd3622	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/038/SRR26541138/SRR26541138_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/038/SRR26541138/SRR26541138_2.fastq.gz
SRR26541146	SAMN38001649	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h48A_TCR	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	f1f93111812caea5ad37d5d31d5871a9;f417949039e07ba253d1dbf75199a95c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/046/SRR26541146/SRR26541146_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/046/SRR26541146/SRR26541146_2.fastq.gz
SRR26541149	SAMN38001649	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h48A_P	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	222ad6d2401a001cf3d40976c16060d3;49ae9f73e67936f82a848b004a5a26d5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/049/SRR26541149/SRR26541149_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/049/SRR26541149/SRR26541149_2.fastq.gz
SRR26541150	SAMN38001576	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h03B1_P	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	5bac87cfe6af6ed091bbc8c70336c925;9e77956bb221a63136bd5305a0d4ea90	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/050/SRR26541150/SRR26541150_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/050/SRR26541150/SRR26541150_2.fastq.gz
SRR26541151	SAMN38001635	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h42B_TCR	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	50fbbc5b65a158df7270546a688f9a2e;51a67b97277d8ee2b01615b223e5098c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/051/SRR26541151/SRR26541151_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/051/SRR26541151/SRR26541151_2.fastq.gz
SRR26541157	SAMN38001633	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h39C_TCR	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	260442afd6695ea2545aac64dcc82d09;c22e79980596aa913fab7102efc2bae3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/057/SRR26541157/SRR26541157_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/057/SRR26541157/SRR26541157_2.fastq.gz
SRR26541161	SAMN38001575	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h03A2_TCR	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	548ead162135d6c633cae38b0496efa7;6656c09426a21d29e030a07875983db4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/061/SRR26541161/SRR26541161_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/061/SRR26541161/SRR26541161_2.fastq.gz
SRR26541165	SAMN38001631	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h39A_N	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	9f09dc686a46168abbff2398724908c4;886a466eb4e3c068e0c853ce55b46a27	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/065/SRR26541165/SRR26541165_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/065/SRR26541165/SRR26541165_2.fastq.gz
SRR26541166	SAMN38001631	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h39A_P	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	ee5f2af63e42dcf6b1ffcd6798a87c9e;8e941b09bc4586fb2b52327031f213ee	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/066/SRR26541166/SRR26541166_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/066/SRR26541166/SRR26541166_2.fastq.gz
SRR26541168	SAMN38001630	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h30C_P	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast		
SRR26541171	SAMN38001616	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h19A_TCR	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	30dc3def1383439e39394f0da66427b2;146d4ed8cdc92ea95059d03d3db7ae28	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/071/SRR26541171/SRR26541171_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/071/SRR26541171/SRR26541171_2.fastq.gz
SRR26541177	SAMN38001614	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h18B_N	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	bbd01f874906a5438af4d6adb39b32d4;a46d06f426e730118bc0cb9dd27e3f63	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/077/SRR26541177/SRR26541177_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/077/SRR26541177/SRR26541177_2.fastq.gz
SRR26541184	SAMN38001611	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h17B_TCR	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	0bbbeb0d8739971011a97d517d9f43f4;631c9bc415f5d987ac69e08b06f0f952	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/084/SRR26541184/SRR26541184_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/084/SRR26541184/SRR26541184_2.fastq.gz
SRR26541185	SAMN38001611	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h17B_P	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	182b6a1858a27337a6de3259ba2db889;11f7cf87ac68003651bc2e1ed9f5ff3a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/085/SRR26541185/SRR26541185_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/085/SRR26541185/SRR26541185_2.fastq.gz
SRR26541193	SAMN38001608	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h16B_N	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	467d87a8fbccc55bd99ead005b570237;c0b8a3833664f8c0043c4891c633cdfc	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/093/SRR26541193/SRR26541193_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/093/SRR26541193/SRR26541193_2.fastq.gz
SRR26541199	SAMN38001606	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h15C_P	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	67453dfa1df20d2d99edd4bcaf7c390e;8c184b51ec73decdef5db9e2867090be	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/099/SRR26541199/SRR26541199_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/099/SRR26541199/SRR26541199_2.fastq.gz
SRR26541200	SAMN38001605	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h15B_TCR	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	f1c5af83c822bf22e6946df38e2a0d83;7d1a673ebb9dc6d3e131db683cea164e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/000/SRR26541200/SRR26541200_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/000/SRR26541200/SRR26541200_2.fastq.gz
SRR26541205	SAMN38001626	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h26B_TCR	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	fdfd49303330a5b7e459208cce4ababd;c8cc921f8e2f69d6c52b4ac35dbf79d5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/005/SRR26541205/SRR26541205_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/005/SRR26541205/SRR26541205_2.fastq.gz
SRR26541206	SAMN38001626	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h26B_P	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	c72868fe0587c72a26ccd8918785675f;c61b5581fbf65092a870e3936c258ac3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/006/SRR26541206/SRR26541206_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/006/SRR26541206/SRR26541206_2.fastq.gz
SRR26541209	SAMN38001624	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h23C_TCR	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	bb5a025ea424c18742ce79378aad59e7;897a8c01d7e48482132abad4af7cfd04	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/009/SRR26541209/SRR26541209_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/009/SRR26541209/SRR26541209_2.fastq.gz
SRR26541210	SAMN38001624	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h23C_P	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	8fa755be68a69457478bf1626770a070;3dee059bf76c33ab44c53010b9e53e77	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/010/SRR26541210/SRR26541210_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/010/SRR26541210/SRR26541210_2.fastq.gz
SRR26541212	SAMN38001574	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h03A1_TCR	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	b72f2641414ce801202017ebcf78eaa0;52389c8ec4ea5b46874576e7ad165d64	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/012/SRR26541212/SRR26541212_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/012/SRR26541212/SRR26541212_2.fastq.gz
SRR26541214	SAMN38001622	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h23A_TCR	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	8c790b55370825f6e6bbae9bee238a85;ec2ed6b9e94513155fde213a1fda80c3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/014/SRR26541214/SRR26541214_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/014/SRR26541214/SRR26541214_2.fastq.gz
SRR26554494	SAMN38027294	Model organism or animal sample from Mus musculus	RNA-Seq	TRANSCRIPTOMIC	PolyA	B3	Illumina NovaSeq 6000 sequencing: scRNA seq of mus musculus: adult female breast	acd5f9b42541042a784edbd8739a9a93;8dff61be7553310ff4b1ea99f80ed564	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/094/SRR26554494/SRR26554494_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/094/SRR26554494/SRR26554494_2.fastq.gz
SRR26554495	SAMN38027293	Model organism or animal sample from Mus musculus	RNA-Seq	TRANSCRIPTOMIC	PolyA	B2	Illumina NovaSeq 6000 sequencing: scRNA seq of mus musculus: adult female breast	e1b5c55cdfd56322948cf52e325a1a86;64b8f419a7da34e8f16c535b5c58dcb5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/095/SRR26554495/SRR26554495_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/095/SRR26554495/SRR26554495_2.fastq.gz
SRR26554496	SAMN38027292	Model organism or animal sample from Mus musculus	RNA-Seq	TRANSCRIPTOMIC	PolyA	B1	Illumina NovaSeq 6000 sequencing: scRNA seq of mus musculus: adult female breast	13edc7fab144729845b8ee745eb828f4;43bfdf2bdd2304a2a705ee38d2dee399	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/096/SRR26554496/SRR26554496_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/096/SRR26554496/SRR26554496_2.fastq.gz
SRR26554497	SAMN38027291	Model organism or animal sample from Mus musculus	RNA-Seq	TRANSCRIPTOMIC	PolyA	mF1	Illumina NovaSeq 6000 sequencing: scRNA seq of mus musculus: adult female breast	c9e2583c777e5b046afe14957b691976;b2aeab776e8aa9a9fe9908191b94e8f6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/097/SRR26554497/SRR26554497_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/097/SRR26554497/SRR26554497_2.fastq.gz
SRR26554499	SAMN38027289	Model organism or animal sample from Mus musculus	RNA-Seq	TRANSCRIPTOMIC	PolyA	mD1	Illumina NovaSeq 6000 sequencing: scRNA seq of mus musculus: adult female breast	209ff945520bbdf25aba5f7d97fe449a;772789d51e89321e679534e21cd1b7f4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/099/SRR26554499/SRR26554499_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/099/SRR26554499/SRR26554499_2.fastq.gz
SRR26554503	SAMN38027297	Model organism or animal sample from Mus musculus	RNA-Seq	TRANSCRIPTOMIC	PolyA	B6	Illumina NovaSeq 6000 sequencing: scRNA seq of mus musculus: adult female breast	5f18afcd4bcd132453678955fb52cdb2;2a213ea35ddfe54665079e93c0d541bb	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/003/SRR26554503/SRR26554503_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/003/SRR26554503/SRR26554503_2.fastq.gz
SRR26554505	SAMN38027287	Model organism or animal sample from Mus musculus	RNA-Seq	TRANSCRIPTOMIC	PolyA	mB1	Illumina NovaSeq 6000 sequencing: scRNA seq of mus musculus: adult female breast	53e02d3ea9faa23e5324a52f815b3cd4;06aa7163755575fdcf2bdefd8b16a549	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/005/SRR26554505/SRR26554505_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/005/SRR26554505/SRR26554505_2.fastq.gz
SRR26554506	SAMN38027286	Model organism or animal sample from Mus musculus	RNA-Seq	TRANSCRIPTOMIC	PolyA	mA1	Illumina NovaSeq 6000 sequencing: scRNA seq of mus musculus: adult female breast	bbc7937414c63e09a02cce4a5ad798e0;6ba053d2a805f957f319347c044ce8e9	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/006/SRR26554506/SRR26554506_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/006/SRR26554506/SRR26554506_2.fastq.gz
SRR26540975	SAMN38001617	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h19B_TCR	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	0ba329dcef284c9b5485c18b3fd0dff2;93e99328e0ba0578bbb49dbb7fb7609d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/075/SRR26540975/SRR26540975_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/075/SRR26540975/SRR26540975_2.fastq.gz
SRR26540976	SAMN38001617	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h19B_P	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	65a6eee4b9331d91ab6be36da983aa73;cff84b46116ea8f0b5b7b54e3af2e2b3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/076/SRR26540976/SRR26540976_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/076/SRR26540976/SRR26540976_2.fastq.gz
SRR26540974	SAMN38001618	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h19C_P	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	c2d4b9b075afd0554313e0e934d84422;cf5c3fdffee42baa3f2f0657eaf53987	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/074/SRR26540974/SRR26540974_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/074/SRR26540974/SRR26540974_2.fastq.gz
SRR26540977	SAMN38001590	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h07B_P	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	2c9f38b19493b8c9a0d9e67349097f0f;3a052ed784e17e1c5c1245bc4f23831c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/077/SRR26540977/SRR26540977_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/077/SRR26540977/SRR26540977_2.fastq.gz
SRR26540981	SAMN38001588	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h06C_TCR	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	77cdd7d41a4460366503b1bef7a2de38;34433bef7a10f30dabacf06cde7918be	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/081/SRR26540981/SRR26540981_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/081/SRR26540981/SRR26540981_2.fastq.gz
SRR26540978	SAMN38001571	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h02A_P	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	1f4580b6fcec610490eee7046b37f840;49a71d34ad09eb40f7aba414be6f2ac0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/078/SRR26540978/SRR26540978_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/078/SRR26540978/SRR26540978_2.fastq.gz
SRR26540983	SAMN38001587	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h06B_TCR	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	f532ef070ba01709c790e4c44e003451;85b66da88ae7b5a116c2938380d44073	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/083/SRR26540983/SRR26540983_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/083/SRR26540983/SRR26540983_2.fastq.gz
SRR26540979	SAMN38001589	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h07A_TCR	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	2abdd080bdbd6dc20b1224561ecc85d3;0f48a9a8fc489db0952cd84053e5d642	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/079/SRR26540979/SRR26540979_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/079/SRR26540979/SRR26540979_2.fastq.gz
SRR26540984	SAMN38001587	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h06B_P	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	48126e8c064fda62a471c2fd94e177d8;b6c29281dee79577bb7873da718e30b8	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/084/SRR26540984/SRR26540984_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/084/SRR26540984/SRR26540984_2.fastq.gz
SRR26540986	SAMN38001586	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h06A_P	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	7573b68d1fb3da74f7334b9babbe6da4;4c7ac10e422f6228005f4eba9c62e299	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/086/SRR26540986/SRR26540986_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/086/SRR26540986/SRR26540986_2.fastq.gz
SRR26540988	SAMN38001585	Human sample from Homo sapiens	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	h05C_P	Illumina NovaSeq 6000 sequencing: scRNAseq of Homo sapiens: adult female breast	2e698b19ec3586c831063badd47fa2ff;41adf5386995f46cecb2c008acd903d4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/088/SRR26540988/SRR26540988_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/088/SRR26540988/SRR26540988_2.fastq.gz
